Reporter,region,Year,ProductCode,Product Description,usd,tons,usd_kg
European Union,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,114014.73,356408.316,0.3199
Spain,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,79205.66,245767.0,0.3223
France,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,49419.64,153843.0,0.3212
South Africa,Sub-Saharan Africa,2023,121410,Lucerne (alfalfa) meal and pellets,46767.56,102886.0,0.4546
United States,North America,2023,121410,Lucerne (alfalfa) meal and pellets,41439.54,124830.0,0.332
Italy,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,41144.87,117493.0,0.3502
Egypt,North Africa,2023,121410,Lucerne (alfalfa) meal and pellets,38371.53,110442.0,0.3474
Canada,North America,2023,121410,Lucerne (alfalfa) meal and pellets,35780.8,99179.0,0.3608
Australia,Oceania,2023,121410,Lucerne (alfalfa) meal and pellets,6872.84,24518.3,0.2803
Netherlands,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,5734.31,13011.0,0.4407
Romania,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,4477.5,15982.0,0.2802
Czech Republic,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,2868.8,8808.79,0.3257
Argentina,South America,2023,121410,Lucerne (alfalfa) meal and pellets,2355.33,12512.3,0.1882
Bulgaria,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,2351.24,7683.09,0.306
Germany,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,1264.71,2308.47,0.5479
Mexico,North America,2023,121410,Lucerne (alfalfa) meal and pellets,1217.01,327.586,3.7151
Hungary,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,1200.69,1956.44,0.6137
Serbia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,752.39,2638.52,0.2852
Sweden,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,659.37,830.95,0.7935
Pakistan,Central Asia,2023,121410,Lucerne (alfalfa) meal and pellets,648.39,10386.4,0.0624
Belgium,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,583.5,1347.24,0.4331
Kazakhstan,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,406.29,1453.1,0.2796
Chile,South America,2023,121410,Lucerne (alfalfa) meal and pellets,356.65,1017.6121658906172,0.3505
Ukraine,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,355.15,2116.79,0.1678
North Macedonia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,333.16,841.66,0.3958
Lithuania,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,278.56,995.1,0.2799
United Kingdom,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,239.68,228.02,1.0511
Mozambique,Sub-Saharan Africa,2023,121410,Lucerne (alfalfa) meal and pellets,170.0,1655.75,0.1027
Greece,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,136.4,358.04,0.381
China,East Asia,2023,121410,Lucerne (alfalfa) meal and pellets,118.71,42.302,2.8063
Namibia,Sub-Saharan Africa,2023,121410,Lucerne (alfalfa) meal and pellets,91.2,919.101,0.0992
Denmark,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,84.44,64.992,1.2992
Croatia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,64.29,200.809,0.3202
Slovakia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,48.69,189.151,0.2574
India,Central Asia,2023,121410,Lucerne (alfalfa) meal and pellets,39.63,82.72,0.4791
Malaysia,Southeast Asia,2023,121410,Lucerne (alfalfa) meal and pellets,36.37,38.1,0.9546
Portugal,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,30.78,83.16,0.3701
Uruguay,South America,2023,121410,Lucerne (alfalfa) meal and pellets,26.88,56.0,0.48
Iceland,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,9.8,14.139,0.6931
Singapore,Southeast Asia,2023,121410,Lucerne (alfalfa) meal and pellets,8.14,8.4,0.969
Moldova,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,7.0,50.0,0.14
Colombia,South America,2023,121410,Lucerne (alfalfa) meal and pellets,6.93,11.842799999999999,0.5852
Bahrain,Middle East,2023,121410,Lucerne (alfalfa) meal and pellets,6.65,19.1372,0.3475
Kenya,Sub-Saharan Africa,2023,121410,Lucerne (alfalfa) meal and pellets,5.38,11.5,0.4678
Turkey,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,3.12,5.0,0.624
Slovenia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,1.87,1.89863,0.9849
Switzerland,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,1.49,1.04957,1.4196
Ireland,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,0.24,0.5,0.48
Brazil,South America,2023,121410,Lucerne (alfalfa) meal and pellets,0.04,0.015,2.6667
Armenia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,0.02,0.002866,6.9784
Poland,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,0.01,0.037417,0.2673
Nicaragua,Central America and Caribbean,2023,121410,Lucerne (alfalfa) meal and pellets,0.01,0.0035,2.8571
European Union,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,146129.31,269418.9266034746,0.5424
Spain,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,110401.76,437288.0,0.2525
Egypt,North Africa,2022,121410,Lucerne (alfalfa) meal and pellets,60494.42,195528.0,0.3094
Italy,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,56665.81,180261.0,0.3144
United States,North America,2022,121410,Lucerne (alfalfa) meal and pellets,44355.95,175862.0,0.2522
France,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,34701.36,141033.9137849387,0.246
Canada,North America,2022,121410,Lucerne (alfalfa) meal and pellets,34497.16,109186.0,0.3159
South Africa,Sub-Saharan Africa,2022,121410,Lucerne (alfalfa) meal and pellets,33213.64,96026.4,0.3459
Oman,Middle East,2022,121410,Lucerne (alfalfa) meal and pellets,19584.36,63299.9,0.3094
Netherlands,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,6719.08,16519.624,0.4067
Australia,Oceania,2022,121410,Lucerne (alfalfa) meal and pellets,6625.21,23677.183586831652,0.2798
Bulgaria,Eastern Europe,2022,121410,Lucerne (alfalfa) meal and pellets,2930.59,10249.3,0.2859
Argentina,South America,2022,121410,Lucerne (alfalfa) meal and pellets,2483.59,14637.5,0.1697
Czech Republic,Eastern Europe,2022,121410,Lucerne (alfalfa) meal and pellets,2379.82,8334.9,0.2855
Serbia,Eastern Europe,2022,121410,Lucerne (alfalfa) meal and pellets,2148.58,7260.46,0.2959
Estonia,Eastern Europe,2022,121410,Lucerne (alfalfa) meal and pellets,1178.22,3862.5,0.305
Germany,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,988.78,2218.78,0.4456
Hungary,Eastern Europe,2022,121410,Lucerne (alfalfa) meal and pellets,967.12,2717.18,0.3559
Romania,Eastern Europe,2022,121410,Lucerne (alfalfa) meal and pellets,930.2,4042.43,0.2301
Lithuania,Eastern Europe,2022,121410,Lucerne (alfalfa) meal and pellets,805.76,3046.11,0.2645
Chile,South America,2022,121410,Lucerne (alfalfa) meal and pellets,805.18,2155.76,0.3735
