Reporter,region,Year,ProductCode,Product Description,usd,tons,usd_kg,tons_esp,tons_usa,tons_can,tons_ita,tons_aus,tons_oth,usd_esp,usd_usa,usd_can,usd_ita,usd_aus,usd_oth,usd_kg_esp,usd_kg_usa,usd_kg_ita,usd_kg_can,usd_kg_aus,usd_kg_oth
United States,North America,2023,121410,Lucerne (alfalfa) meal and pellets,37171.18,86706.0,0.4287,0.0,0.0,62422.0,0.0,819.0,23465.0,0.0,0.0,26919.38,0.0,162.7,10089.099999999999,,,,0.4312,0.1987,0.43
Japan,East Asia,2023,121410,Lucerne (alfalfa) meal and pellets,25614.25,57181.0,0.448,2109.0,1058.0,16249.0,32099.0,0.0,5666.0,911.6,589.85,7421.2,13785.95,0.0,2905.649999999998,0.4322,0.5575,0.4295,0.4567,,0.5128
Germany,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,18126.75,53935.2,0.3361,1.647,0.0,0.0,4184.79,0.0,49748.763,0.47,0.0,0.0,1515.05,0.0,16611.23,0.2854,,0.362,,,0.3339
Belgium,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,14372.93,44722.4,0.3214,0.0,1.09,0.0,0.0,0.0,44721.310000000005,0.0,1.24,0.0,0.0,0.0,14371.69,,1.1376,,,,0.3214
Jordan,Middle East,2023,121410,Lucerne (alfalfa) meal and pellets,13138.67,32203.6,0.408,17424.3,4164.04,0.0,1570.96,0.0,9044.3,7108.92,1698.88,0.0,640.93,0.0,3689.9400000000005,0.408,0.408,0.408,,,0.408
Greece,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,9432.51,32044.4,0.2944,24.68,0.0,0.0,100.368,0.0,31919.352000000003,10.01,0.0,0.0,133.16,0.0,9289.34,0.4056,,1.3267,,,0.291
United Kingdom,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,8391.59,21701.8,0.3867,1276.92,0.0,0.0,9987.18,0.0,10437.699999999999,485.95,0.0,0.0,3781.56,0.0,4124.08,0.3806,,0.3786,,,0.3951
Netherlands,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,8284.69,24812.92,0.3339,58.452,0.009,0.0,2458.25,0.0,22296.209,19.82,0.32,0.0,841.52,0.0,7423.030000000001,0.3391,,0.3423,,,0.3329
Portugal,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,7289.51,25720.5,0.2834,25669.3,0.0,0.0,0.071,0.0,51.129000000000815,7276.78,0.0,0.0,0.09,0.0,12.640000000000327,0.2835,,1.2676,,,0.2472
France,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,6604.24,21752.8,0.3036,19570.8,0.016,0.0,502.949,0.0,1679.0349999999999,5676.87,0.16,0.0,194.44,0.0,732.7700000000004,0.2901,10.0,0.3866,,,0.4364
China,East Asia,2023,121410,Lucerne (alfalfa) meal and pellets,4733.87,15123.5,0.313,5751.82,24.745,0.0,8235.38,0.0,1111.5550000000003,1756.58,14.72,0.0,2646.32,0.0,316.25,0.3054,0.5949,0.3213,,,0.2845
Norway,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,3989.85,10919.6,0.3654,7442.47,0.0,0.0,0.0,0.0,3477.13,2244.25,0.0,0.0,0.0,0.0,1745.6,0.3015,,,,,0.502
