Reporter,region,Year,ProductCode,Product Description,usd,tons,usd_kg
United Arab Emirates,Middle East,2023,121410,Lucerne (alfalfa) meal and pellets,178416.84,515651.0,0.346
United States,North America,2023,121410,Lucerne (alfalfa) meal and pellets,37171.18,86706.0,0.4287
Japan,East Asia,2023,121410,Lucerne (alfalfa) meal and pellets,25614.25,57181.0,0.448
Qatar,Middle East,2023,121410,Lucerne (alfalfa) meal and pellets,22779.79,55834.5,0.408
Kuwait,Middle East,2023,121410,Lucerne (alfalfa) meal and pellets,19757.22,24368.3,0.8108
Germany,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,18126.75,53935.2,0.3361
Belgium,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,14372.93,44722.4,0.3214
Oman,Middle East,2023,121410,Lucerne (alfalfa) meal and pellets,13833.87,33907.5,0.408
Saudi Arabia,Middle East,2023,121410,Lucerne (alfalfa) meal and pellets,13750.17,35568.0,0.3866
Jordan,Middle East,2023,121410,Lucerne (alfalfa) meal and pellets,13138.67,32203.6,0.408
Other Asia,Other Asia,2023,121410,Lucerne (alfalfa) meal and pellets,12109.99,25003.8,0.4843
Greece,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,9432.51,32044.4,0.2944
Netherlands,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,9149.56,27.403234196475662,333.8861
Lesotho,Sub-Saharan Africa,2023,121410,Lucerne (alfalfa) meal and pellets,8739.28,20149.6,0.4337
South Korea,East Asia,2023,121410,Lucerne (alfalfa) meal and pellets,8422.46,22637.0,0.3721
United Kingdom,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,8391.59,21701.8,0.3867
Portugal,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,7289.51,25720.5,0.2834
France,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,6604.24,21752.8,0.3036
China,East Asia,2023,121410,Lucerne (alfalfa) meal and pellets,4733.87,15123.5,0.313
Tunisia,North Africa,2023,121410,Lucerne (alfalfa) meal and pellets,4096.79,14077.2,0.291
Austria,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,4026.09,12527.6,0.3214
Norway,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,3992.33,10919.6,0.3656
Switzerland,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,3810.99,9370.02,0.4067
Morocco,North Africa,2023,121410,Lucerne (alfalfa) meal and pellets,3495.35,13174.6,0.2653
Sweden,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,2992.13,6631.42,0.4512
Denmark,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,2103.72,4746.06,0.4433
Botswana,Sub-Saharan Africa,2023,121410,Lucerne (alfalfa) meal and pellets,2038.95,9881.63,0.2063
Cyprus,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,1813.21,5127.768,0.3536
Colombia,South America,2023,121410,Lucerne (alfalfa) meal and pellets,1677.32,3816.63,0.4395
Malta,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,1646.89,4253.95,0.3871
Bahrain,Middle East,2023,121410,Lucerne (alfalfa) meal and pellets,1609.34,3944.58,0.408
European Union,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,1584.99,5249.58,0.3019
Chile,South America,2023,121410,Lucerne (alfalfa) meal and pellets,1346.43,6159.87,0.2186
Croatia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,1129.72,3571.58,0.3163
Panama,Central America and Caribbean,2023,121410,Lucerne (alfalfa) meal and pellets,1101.92,2377.04,0.4636
Thailand,Southeast Asia,2023,121410,Lucerne (alfalfa) meal and pellets,1087.04,1839.02,0.5911
Israel,Middle East,2023,121410,Lucerne (alfalfa) meal and pellets,1063.07,2605.63,0.408
Malaysia,Southeast Asia,2023,121410,Lucerne (alfalfa) meal and pellets,907.29,1738.1,0.522
Dominican Republic,Central America and Caribbean,2023,121410,Lucerne (alfalfa) meal and pellets,884.78,1648.72,0.5366
Italy,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,839.94,1903.04,0.4414
Hungary,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,838.4,3486.43,0.2405
New Zealand,Oceania,2023,121410,Lucerne (alfalfa) meal and pellets,776.28,790.875,0.9815
Slovenia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,702.43,1928.21,0.3643
Brazil,South America,2023,121410,Lucerne (alfalfa) meal and pellets,685.02,2334.79,0.2934
South Africa,Sub-Saharan Africa,2023,121410,Lucerne (alfalfa) meal and pellets,488.32,3800.77,0.1285
Slovakia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,472.06,1084.23,0.4354
Poland,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,471.92,1696.35,0.2782
Spain,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,446.01,2147.133,0.2077
Romania,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,435.67,1527.04,0.2853
Uruguay,South America,2023,121410,Lucerne (alfalfa) meal and pellets,364.67,1310.8,0.2782
Czech Republic,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,328.1,2550.77,0.1286
Serbia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,311.72,823.918,0.3783
Namibia,Sub-Saharan Africa,2023,121410,Lucerne (alfalfa) meal and pellets,293.55,535.448,0.5482
Uzbekistan,Central Asia,2023,121410,Lucerne (alfalfa) meal and pellets,270.37,973.0,0.2779
Canada,North America,2023,121410,Lucerne (alfalfa) meal and pellets,260.53,279.266,0.9329
Jamaica,Central America and Caribbean,2023,121410,Lucerne (alfalfa) meal and pellets,236.15,396.244,0.596
Philippines,Southeast Asia,2023,121410,Lucerne (alfalfa) meal and pellets,230.1,593.654,0.3876
Singapore,Southeast Asia,2023,121410,Lucerne (alfalfa) meal and pellets,221.38,273.84,0.8084
Bosnia and Herzegovina,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,209.57,664.29,0.3155
Guatemala,Central America and Caribbean,2023,121410,Lucerne (alfalfa) meal and pellets,178.48,301.559,0.5919
Ireland,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,173.54,371.299,0.4674
Hong Kong (China),East Asia,2023,121410,Lucerne (alfalfa) meal and pellets,170.32,233.0,0.731
Iceland,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,162.55,227.31,0.7151
Finland,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,157.17,255.412,0.6154
Honduras,Central America and Caribbean,2023,121410,Lucerne (alfalfa) meal and pellets,156.73,241.494,0.649
Bermuda,North America,2023,121410,Lucerne (alfalfa) meal and pellets,138.82,74.134,1.8726
Peru,South America,2023,121410,Lucerne (alfalfa) meal and pellets,125.69,285.44,0.4403
Latvia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,121.84,337.0,0.3615
Bahamas,Central America and Caribbean,2023,121410,Lucerne (alfalfa) meal and pellets,112.19,29.011,3.8672
