id,country_ID,country,region,year,month,taric,type,eur,tons,eur_kg,eur_raw,tons_raw
660_121410_2015_1,660,Afghanistan,South Asia,2015,1,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
660_121410_2015_2,660,Afghanistan,South Asia,2015,2,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
660_121410_2015_3,660,Afghanistan,South Asia,2015,3,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
660_121410_2015_4,660,Afghanistan,South Asia,2015,4,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
660_121410_2015_5,660,Afghanistan,South Asia,2015,5,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
660_121410_2015_6,660,Afghanistan,South Asia,2015,6,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
660_121410_2015_7,660,Afghanistan,South Asia,2015,7,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
660_121410_2015_8,660,Afghanistan,South Asia,2015,8,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
660_121410_2015_9,660,Afghanistan,South Asia,2015,9,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
660_121410_2015_10,660,Afghanistan,South Asia,2015,10,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
660_121410_2015_11,660,Afghanistan,South Asia,2015,11,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
660_121410_2015_12,660,Afghanistan,South Asia,2015,12,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
660_12149090_2015_1,660,Afghanistan,South Asia,2015,1,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
660_12149090_2015_2,660,Afghanistan,South Asia,2015,2,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
660_12149090_2015_3,660,Afghanistan,South Asia,2015,3,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
660_12149090_2015_4,660,Afghanistan,South Asia,2015,4,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
660_12149090_2015_5,660,Afghanistan,South Asia,2015,5,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
660_12149090_2015_6,660,Afghanistan,South Asia,2015,6,12149090.0,"Heno, alfalfa, trébol, esparce",147.68,505.66,0.2921,147.68,505.66
660_12149090_2015_7,660,Afghanistan,South Asia,2015,7,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.2921,0.0,0.0
660_12149090_2015_8,660,Afghanistan,South Asia,2015,8,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.2921,0.0,0.0
660_12149090_2015_9,660,Afghanistan,South Asia,2015,9,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.2921,0.0,0.0
660_12149090_2015_10,660,Afghanistan,South Asia,2015,10,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.2921,0.0,0.0
660_12149090_2015_11,660,Afghanistan,South Asia,2015,11,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.2921,0.0,0.0
660_12149090_2015_12,660,Afghanistan,South Asia,2015,12,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.2921,0.0,0.0
070_121410_2011_1,070,Albania,Balkan Europe,2011,1,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
070_121410_2011_2,070,Albania,Balkan Europe,2011,2,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
070_121410_2011_3,070,Albania,Balkan Europe,2011,3,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
070_121410_2011_4,070,Albania,Balkan Europe,2011,4,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
070_121410_2011_5,070,Albania,Balkan Europe,2011,5,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
070_121410_2011_6,070,Albania,Balkan Europe,2011,6,121410.0,Harina y pellets de alfalfa,61.0,259.56,0.235,61.0,259.56
070_121410_2011_7,070,Albania,Balkan Europe,2011,7,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2011_8,070,Albania,Balkan Europe,2011,8,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2011_9,070,Albania,Balkan Europe,2011,9,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2011_10,070,Albania,Balkan Europe,2011,10,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2011_11,070,Albania,Balkan Europe,2011,11,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2011_12,070,Albania,Balkan Europe,2011,12,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2014_1,070,Albania,Balkan Europe,2014,1,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2014_2,070,Albania,Balkan Europe,2014,2,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2014_3,070,Albania,Balkan Europe,2014,3,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2014_4,070,Albania,Balkan Europe,2014,4,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2014_5,070,Albania,Balkan Europe,2014,5,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2014_6,070,Albania,Balkan Europe,2014,6,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2014_7,070,Albania,Balkan Europe,2014,7,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2014_8,070,Albania,Balkan Europe,2014,8,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2014_9,070,Albania,Balkan Europe,2014,9,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2014_10,070,Albania,Balkan Europe,2014,10,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2014_11,070,Albania,Balkan Europe,2014,11,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2014_12,070,Albania,Balkan Europe,2014,12,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2015_1,070,Albania,Balkan Europe,2015,1,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2015_2,070,Albania,Balkan Europe,2015,2,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2015_3,070,Albania,Balkan Europe,2015,3,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2015_4,070,Albania,Balkan Europe,2015,4,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2015_5,070,Albania,Balkan Europe,2015,5,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2015_6,070,Albania,Balkan Europe,2015,6,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2015_7,070,Albania,Balkan Europe,2015,7,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2015_8,070,Albania,Balkan Europe,2015,8,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2015_9,070,Albania,Balkan Europe,2015,9,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2015_10,070,Albania,Balkan Europe,2015,10,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2015_11,070,Albania,Balkan Europe,2015,11,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_121410_2015_12,070,Albania,Balkan Europe,2015,12,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.235,0.0,0.0
070_12149090_2011_1,070,Albania,Balkan Europe,2011,1,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2011_2,070,Albania,Balkan Europe,2011,2,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2011_3,070,Albania,Balkan Europe,2011,3,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2011_4,070,Albania,Balkan Europe,2011,4,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2011_5,070,Albania,Balkan Europe,2011,5,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2011_6,070,Albania,Balkan Europe,2011,6,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2011_7,070,Albania,Balkan Europe,2011,7,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2011_8,070,Albania,Balkan Europe,2011,8,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2011_9,070,Albania,Balkan Europe,2011,9,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2011_10,070,Albania,Balkan Europe,2011,10,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2011_11,070,Albania,Balkan Europe,2011,11,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2011_12,070,Albania,Balkan Europe,2011,12,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2014_1,070,Albania,Balkan Europe,2014,1,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2014_2,070,Albania,Balkan Europe,2014,2,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2014_3,070,Albania,Balkan Europe,2014,3,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2014_4,070,Albania,Balkan Europe,2014,4,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2014_5,070,Albania,Balkan Europe,2014,5,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2014_6,070,Albania,Balkan Europe,2014,6,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,,0.0,0.0
070_12149090_2014_7,070,Albania,Balkan Europe,2014,7,12149090.0,"Heno, alfalfa, trébol, esparce",22.32,94.88,0.2352,22.32,94.88
070_12149090_2014_8,070,Albania,Balkan Europe,2014,8,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.2337,0.0,0.0
070_12149090_2014_9,070,Albania,Balkan Europe,2014,9,12149090.0,"Heno, alfalfa, trébol, esparce",25.56,110.06,0.2322,25.56,110.06
070_12149090_2014_10,070,Albania,Balkan Europe,2014,10,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.23684444444444444,0.0,0.0
070_12149090_2014_11,070,Albania,Balkan Europe,2014,11,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.2414888888888889,0.0,0.0
070_12149090_2014_12,070,Albania,Balkan Europe,2014,12,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.24613333333333334,0.0,0.0
070_12149090_2015_1,070,Albania,Balkan Europe,2015,1,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.25077777777777777,0.0,0.0
070_12149090_2015_2,070,Albania,Balkan Europe,2015,2,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.2554222222222222,0.0,0.0
070_12149090_2015_3,070,Albania,Balkan Europe,2015,3,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.26006666666666667,0.0,0.0
070_12149090_2015_4,070,Albania,Balkan Europe,2015,4,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.2647111111111111,0.0,0.0
070_12149090_2015_5,070,Albania,Balkan Europe,2015,5,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.26935555555555557,0.0,0.0
070_12149090_2015_6,070,Albania,Balkan Europe,2015,6,12149090.0,"Heno, alfalfa, trébol, esparce",39.49,144.12,0.274,39.49,144.12
070_12149090_2015_7,070,Albania,Balkan Europe,2015,7,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.26963333333333334,0.0,0.0
070_12149090_2015_8,070,Albania,Balkan Europe,2015,8,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.2652666666666667,0.0,0.0
070_12149090_2015_9,070,Albania,Balkan Europe,2015,9,12149090.0,"Heno, alfalfa, trébol, esparce",22.21,85.14,0.2609,22.21,85.14
070_12149090_2015_10,070,Albania,Balkan Europe,2015,10,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.2609,0.0,0.0
070_12149090_2015_11,070,Albania,Balkan Europe,2015,11,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.2609,0.0,0.0
070_12149090_2015_12,070,Albania,Balkan Europe,2015,12,12149090.0,"Heno, alfalfa, trébol, esparce",0.0,0.0,0.2609,0.0,0.0
208_121410_2006_1,208,Algeria,North Africa,2006,1,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
208_121410_2006_2,208,Algeria,North Africa,2006,2,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
208_121410_2006_3,208,Algeria,North Africa,2006,3,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
208_121410_2006_4,208,Algeria,North Africa,2006,4,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
208_121410_2006_5,208,Algeria,North Africa,2006,5,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
208_121410_2006_6,208,Algeria,North Africa,2006,6,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
208_121410_2006_7,208,Algeria,North Africa,2006,7,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
208_121410_2006_8,208,Algeria,North Africa,2006,8,121410.0,Harina y pellets de alfalfa,0.0,0.0,,0.0,0.0
208_121410_2006_9,208,Algeria,North Africa,2006,9,121410.0,Harina y pellets de alfalfa,32.33,191.28,0.169,32.33,191.28
208_121410_2006_10,208,Algeria,North Africa,2006,10,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.174405,0.0,0.0
208_121410_2006_11,208,Algeria,North Africa,2006,11,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.17981000000000003,0.0,0.0
208_121410_2006_12,208,Algeria,North Africa,2006,12,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.18521500000000002,0.0,0.0
208_121410_2008_1,208,Algeria,North Africa,2008,1,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.25548000000000004,0.0,0.0
208_121410_2008_2,208,Algeria,North Africa,2008,2,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.26088500000000003,0.0,0.0
208_121410_2008_3,208,Algeria,North Africa,2008,3,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.26629,0.0,0.0
208_121410_2008_4,208,Algeria,North Africa,2008,4,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.271695,0.0,0.0
208_121410_2008_5,208,Algeria,North Africa,2008,5,121410.0,Harina y pellets de alfalfa,5.77,20.82,0.2771,5.77,20.82
208_121410_2008_6,208,Algeria,North Africa,2008,6,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.2763464285714286,0.0,0.0
208_121410_2008_7,208,Algeria,North Africa,2008,7,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.27559285714285714,0.0,0.0
208_121410_2008_8,208,Algeria,North Africa,2008,8,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.27483928571428573,0.0,0.0
208_121410_2008_9,208,Algeria,North Africa,2008,9,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.2740857142857143,0.0,0.0
208_121410_2008_10,208,Algeria,North Africa,2008,10,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.27333214285714286,0.0,0.0
208_121410_2008_11,208,Algeria,North Africa,2008,11,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.27257857142857145,0.0,0.0
208_121410_2008_12,208,Algeria,North Africa,2008,12,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.271825,0.0,0.0
208_121410_2011_1,208,Algeria,North Africa,2011,1,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.2529857142857143,0.0,0.0
208_121410_2011_2,208,Algeria,North Africa,2011,2,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.25223214285714285,0.0,0.0
208_121410_2011_3,208,Algeria,North Africa,2011,3,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.25147857142857144,0.0,0.0
208_121410_2011_4,208,Algeria,North Africa,2011,4,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.250725,0.0,0.0
208_121410_2011_5,208,Algeria,North Africa,2011,5,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24997142857142857,0.0,0.0
208_121410_2011_6,208,Algeria,North Africa,2011,6,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24921785714285716,0.0,0.0
208_121410_2011_7,208,Algeria,North Africa,2011,7,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24846428571428572,0.0,0.0
208_121410_2011_8,208,Algeria,North Africa,2011,8,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24771071428571428,0.0,0.0
208_121410_2011_9,208,Algeria,North Africa,2011,9,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.24695714285714285,0.0,0.0
